a,d,fl,fw,gh,inl,inw,k,mt,pl,pw,sh,sl,sw,uf,freq,s11,gain,bandwidth
50.0,2000.0,86.0,58.0,15.0,20.0,3.625,1.0,15.0,228.0,303.0,90.0,400.0,460.0,0.8,0.41392,-30.276738020717,9.875259609570737,0.038275697971525136
50.0,2000.0,86.0,58.0,15.0,20.0,3.625,1.0,15.0,228.0,280.0,90.0,400.0,460.0,0.8,0.42085,-24.918129078672,10.007248155381967,0.03838232106170919
50.0,2000.0,98.0,58.0,15.0,80.0,3.625,1.0,15.0,204.0,350.0,90.0,400.0,460.0,0.8,0.71191,-30.176221397003,9.88876970997473,0.08587334044081951
50.0,2000.0,98.0,58.0,15.0,80.0,3.625,1.0,15.0,204.0,326.0,90.0,400.0,460.0,0.8,0.71092,-33.669791254388,9.666406597658268,0.08840842383158432
50.0,2000.0,98.0,58.0,15.0,80.0,3.625,1.0,15.0,204.0,303.0,90.0,400.0,460.0,0.8,0.71686,-34.07588670313,9.164091615229031,0.09208380575549846
50.0,2000.0,98.0,58.0,15.0,80.0,3.625,1.0,15.0,204.0,280.0,90.0,400.0,460.0,0.8,0.71884,-36.378418063452,8.78053467430438,0.09402997160523419
50.0,2000.0,98.0,58.0,15.0,58.0,3.625,1.0,15.0,204.0,350.0,90.0,400.0,460.0,0.8,0.77527,-27.179158489061,9.77940103216271,0.0835851847893
50.0,2000.0,98.0,58.0,15.0,58.0,3.625,1.0,15.0,204.0,326.0,90.0,400.0,460.0,0.8,0.77725,-25.662130530503,9.898991463533417,0.08479385671383866
50.0,2000.0,98.0,58.0,15.0,58.0,3.625,1.0,15.0,204.0,303.0,90.0,400.0,460.0,0.8,0.77824,-27.759628743084,9.889884042989198,0.08730618913776977
50.0,2000.0,98.0,58.0,15.0,58.0,3.625,1.0,15.0,204.0,280.0,90.0,400.0,460.0,0.8,0.77923,-34.601386565143,9.791862792417392,0.09225283593104339
50.0,2000.0,98.0,58.0,15.0,39.0,3.625,1.0,15.0,204.0,350.0,90.0,400.0,460.0,0.8,0.79408,-18.106493234215,9.35590260572066,0.10056430105693126
50.0,2000.0,98.0,58.0,15.0,39.0,3.625,1.0,15.0,204.0,326.0,90.0,400.0,460.0,0.8,0.79705,-17.808979743729,9.332407313269263,0.10859685260395491
50.0,2000.0,98.0,58.0,15.0,39.0,3.625,1.0,15.0,204.0,303.0,90.0,400.0,460.0,0.8,0.4357,-17.016103076555,10.16619435869043,0.03677739631220345
50.0,2000.0,98.0,58.0,15.0,39.0,3.625,1.0,15.0,204.0,280.0,90.0,400.0,460.0,0.8,0.44461,-19.862314201139,10.447691487597286,0.039024205016625735
50.0,2000.0,98.0,58.0,15.0,20.0,3.625,1.0,15.0,204.0,350.0,90.0,400.0,460.0,0.8,0.95842,-16.381612685923,10.519146741108832
50.0,2000.0,98.0,58.0,15.0,20.0,3.625,1.0,15.0,204.0,326.0,90.0,400.0,460.0,0.8,0.95644,-16.497179059424,10.417163728265255
50.0,2000.0,98.0,58.0,15.0,20.0,3.625,1.0,15.0,204.0,303.0,90.0,400.0,460.0,0.8,0.43669,-18.855881750062,10.228168974865088,0.038381774896653564
50.0,2000.0,98.0,58.0,15.0,20.0,3.625,1.0,15.0,204.0,280.0,90.0,400.0,460.0,0.8,0.44362,-22.186412693555,10.455011754134656,0.0402818156754674
50.0,2000.0,110.0,58.0,15.0,80.0,3.625,1.0,15.0,180.0,350.0,90.0,400.0,460.0,0.8,0.73765,-28.592873520511,9.59124770588606,0.08975194585535784
50.0,2000.0,110.0,58.0,15.0,80.0,3.625,1.0,15.0,180.0,326.0,90.0,400.0,460.0,0.8,0.74062,-28.698995405644,9.738916723632311,0.08968306861084452
50.0,2000.0,110.0,58.0,15.0,80.0,3.625,1.0,15.0,180.0,303.0,90.0,400.0,460.0,0.8,0.74458,-33.224753752839,9.814596775664969,0.09303077289539241
50.0,2000.0,110.0,58.0,15.0,80.0,3.625,1.0,15.0,180.0,280.0,90.0,400.0,460.0,0.8,0.74854,-36.582801074647,9.864224671870055,0.10216623321778395
50.0,2000.0,110.0,58.0,15.0,58.0,3.625,1.0,15.0,180.0,350.0,90.0,400.0,460.0,0.8,0.75943,-27.752659148345,10.049547402615685,0.09133571632927329
50.0,2000.0,110.0,58.0,15.0,58.0,3.625,1.0,15.0,180.0,326.0,90.0,400.0,460.0,0.8,0.7624,-30.018896049624,10.118852658020836,0.08971294855056666
50.0,2000.0,110.0,58.0,15.0,58.0,3.625,1.0,15.0,180.0,303.0,90.0,400.0,460.0,0.8,0.76141,-35.596239183774,10.105009640962125,0.09743611584416723
50.0,2000.0,110.0,58.0,15.0,58.0,3.625,1.0,15.0,180.0,280.0,90.0,400.0,460.0,0.8,0.7624,-38.169477018209,10.030240455178081,0.1051857937385231
50.0,2000.0,110.0,58.0,15.0,39.0,3.625,1.0,15.0,180.0,350.0,90.0,400.0,460.0,0.8,0.78418,-28.951878134882,10.19817238592143,0.10220154872942433
50.0,2000.0,110.0,58.0,15.0,39.0,3.625,1.0,15.0,180.0,326.0,90.0,400.0,460.0,0.8,0.78715,-27.583853542206,10.243977779909777,0.234729374191889
50.0,2000.0,110.0,58.0,15.0,39.0,3.625,1.0,15.0,180.0,303.0,90.0,400.0,460.0,0.8,0.79012,-23.239323440636,10.166211522485407,0.2337767032420296
50.0,2000.0,110.0,58.0,15.0,39.0,3.625,1.0,15.0,180.0,280.0,90.0,400.0,460.0,0.8,0.79012,-19.865997905018,9.950730756316174,0.23289027330340717
50.0,2000.0,110.0,58.0,15.0,20.0,3.625,1.0,15.0,180.0,350.0,90.0,400.0,460.0,0.8,0.79309,-19.458218938818,10.045494643734076,0.24522671180021316
50.0,2000.0,110.0,58.0,15.0,20.0,3.625,1.0,15.0,180.0,326.0,90.0,400.0,460.0,0.8,0.79804,-18.282010743636,10.003853458013069,0.2394281392627331
50.0,2000.0,110.0,58.0,15.0,20.0,3.625,1.0,15.0,180.0,303.0,90.0,400.0,460.0,0.8,0.93268,-16.713264842339,9.52460509756616,0.2348289303726533
